,dog,cat,wolf,lion,oak,rose,willow,river,sea,lake
dog,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wolf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lion,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
oak,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
rose,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
willow,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.25
sea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.5
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.0
